"","(Intercept)","age","brlen.median","brlen.ratio","brlen.var","frac","lambda","max.brlen","max.internal","max.tip","min.brlen","min.internal","min.tip","mu","Ntip","df","logLik","AICc","delta","weight"
"1542",7.2456301490545,0.000593366988315075,NA,3.50873310912664e-07,NA,NA,NA,NA,NA,NA,-0.706826719188738,0.171812793922181,NA,NA,NA,6,-39901.0461008207,79814.096403112,7403.04784755928,0
"1857",7.18593771600048,NA,NA,NA,NA,NA,NA,0.0012378381021976,NA,0.000527146094746017,-0.727419700143887,0.17149871575891,NA,NA,NA,6,-39908.8731393954,79829.7504802614,7418.7019247087,0
"5257",6.4457277404084,NA,NA,NA,-2.43841921067573e-05,NA,NA,NA,0.0030553813046152,NA,NA,-0.125647478818876,NA,18.26449414416,NA,6,-39909.9076214189,79831.8194443084,7420.77088875568,0
"4149",6.07074310516775,NA,NA,3.60265421646269e-07,NA,2.31327853661075,-15.3675702411997,NA,NA,NA,NA,NA,NA,30.5705563244245,NA,6,-39910.4351655031,79832.8745324767,7421.82597692398,0
"1633",7.03059684157908,NA,NA,NA,NA,NA,2.79415205346444,0.0015205227650006,NA,NA,-0.709897854253674,0.174651204317181,NA,NA,NA,6,-39911.8411648815,79835.6865312334,7424.63797568071,0
"4147",5.64131266302096,NA,0.00720429756500397,NA,NA,2.48305411277541,-11.3472549029012,NA,NA,NA,NA,NA,NA,29.4416582937103,NA,6,-39912.486398608,79836.9769986864,7425.92844313371,0
"1173",5.94958589755712,NA,NA,3.19666877887557e-07,NA,2.17160566328965,NA,NA,0.00142073370124668,NA,NA,-0.120135165776192,NA,NA,NA,6,-39913.8339797004,79839.6721608714,7428.62360531866,0
"1201",5.68289722704224,NA,NA,NA,NA,2.15491797572223,4.33205463573513,NA,0.00152988061415313,NA,NA,-0.110382463104103,NA,NA,NA,6,-39914.1770339665,79840.3582694035,7429.30971385079,0
"5145",5.52529095001786,NA,NA,NA,1.1210172982052e-05,2.22074366194599,NA,NA,NA,NA,NA,-0.0919629520675412,NA,20.6796018360416,NA,6,-39915.0214240341,79842.0470495388,7430.99849398607,0
"4123",5.04220465881797,NA,0.010553059927124,NA,7.53974179693151e-06,2.52134037365071,NA,NA,NA,NA,NA,NA,NA,23.0911772678196,NA,6,-39917.5609765313,79847.1261545331,7436.07759898044,0
"541",6.27964384502005,NA,NA,3.43451056460316e-07,1.10982283043017e-05,2.10729739326353,NA,NA,NA,NA,-0.408500692227287,NA,NA,NA,NA,6,-39921.1774780937,79854.359157658,7443.31060210531,0
"1137",5.61676412853748,NA,NA,NA,NA,2.19266017628878,4.79506348405198,0.00147544499084436,NA,NA,NA,-0.113000504404264,NA,NA,NA,6,-39921.3247564075,79854.6537142855,7443.60515873278,0
"1601",7.21180666344412,NA,NA,NA,NA,NA,NA,0.00145811280210798,NA,NA,-0.720846679793162,0.172848261183268,NA,NA,NA,5,-39925.2730430066,79860.5490869136,7449.50053136086,0
"1361",5.8415438727441,NA,NA,NA,NA,2.2724039248209,NA,0.00103181667750466,NA,0.00079684664372188,NA,-0.130008853794373,NA,NA,NA,6,-39924.5115614656,79861.0273244016,7449.97876884892,0
"4645",7.84568949804787,NA,NA,3.55016388603707e-07,NA,NA,-21.2607329393087,NA,NA,NA,-0.488544942834913,NA,NA,32.2714151103798,NA,6,-39924.5593121635,79861.1228257974,7450.07427024472,0
"1109",5.9158278563395,NA,NA,3.22927359765146e-07,NA,2.20847056015765,NA,0.0013546628799549,NA,NA,NA,-0.123416981648257,NA,NA,NA,6,-39927.1738169544,79866.3518353793,7455.30327982661,0
"1170",5.96271870246773,0.0001602043184939,NA,NA,NA,2.14329705003321,NA,NA,0.0010844397170052,NA,NA,-0.121919144928019,NA,NA,NA,6,-39930.7625715728,79873.5293446162,7462.48078906351,0
"569",6.51557696253681,NA,NA,NA,1.06187858531155e-05,2.1190739122454,-3.90011443928284,NA,NA,NA,-0.430550550155604,NA,NA,NA,NA,6,-39931.2859072471,79874.5760159647,7463.52746041203,0
"1570",7.13220436101887,0.000611477785611916,NA,NA,NA,NA,1.80813943319228,NA,NA,NA,-0.700316173882473,0.172882141587567,NA,NA,NA,6,-39935.8054011256,79883.6150037217,7472.56644816897,0
"1540",7.27673578243486,0.000618796680563507,-0.00232565595203487,NA,NA,NA,NA,NA,NA,NA,-0.696503046383658,0.173717402626529,NA,NA,NA,6,-39936.3416258338,79884.6874531381,7473.63889758536,0
"1106",5.93984978436816,0.000178448863137187,NA,NA,NA,2.16698153775364,NA,0.000993582394251405,NA,NA,NA,-0.124410679057254,NA,NA,NA,6,-39940.5280955101,79893.0603924907,7482.01183693805,0
"1538",7.24790471928612,0.00059652896792697,NA,NA,NA,NA,NA,NA,NA,NA,-0.707812875248353,0.171690713966422,NA,NA,NA,5,-39941.5614760938,79893.1259530879,7482.07739753523,0
"4643",7.6353985049584,NA,0.0050033661433559,NA,NA,NA,-18.7451044934935,NA,NA,NA,-0.510437500250351,NA,NA,31.5983872276772,NA,6,-39945.6949608963,79903.3941232632,7492.34556771051,0
"1233",5.9407081159856,NA,NA,NA,NA,2.18208474512065,NA,0.000303102047732972,0.00112263361227484,NA,NA,-0.121607344849005,NA,NA,NA,6,-39946.1882880618,79904.3807775941,7493.33222204143,0
